************************************************************

LFS Username: badkapp62 | User ID: 35012 | Total Vehicles: 1091
================================================================================
Total Garage Space Used: 1771.00m²   | 50m² : 36 | 25m²: 71 | 10m²: 178

VIN: GAYAS      | SCAMA 311 B ARQUEADO                | Space: 20.0m²
VIN: GOTIC      | PUSHBACK TUG                        | Space: 20.0m²
VIN: UWERA      | HEAVY RESCUE TRUCK                  | Space: 16.0m²
VIN: FASIC      | MUN FIRETRUCK                       | Space: 16.0m²
VIN: SOWET      | TSV8                                | Space: 12.0m²
VIN: GETUP      | CAMIDO                              | Space: 10.0m²
VIN: SEXUS      | GRUZ_1RUNNER                        | Space: 10.0m²
VIN: GANOY      | FEND 150R                           | Space: 10.0m²
VIN: IDAMO      | GT-V 2000GTV                        | Space: 10.0m²
VIN: YUYIY      | FZ50 GTR                            | Space: 9.0m²
VIN: UZASA      | FZ50 GTR                            | Space: 9.0m²
VIN: SULAT      | FXO GTR                             | Space: 9.0m²
VIN: WIWIY      | XR GTR                              | Space: 9.0m²
VIN: SUFIN      | BMW SAUBER F1.06                    | Space: 9.0m²
VIN: RAVUY      | FORMULA GROUNDEFFECT                | Space: 9.0m²
VIN: IMANI      | BIMMY M46 V10                       | Space: 9.0m²
VIN: ABCDE      | XR GT TURBO                         | Space: 8.0m²
VIN: ABKBK      | FZ-E                                | Space: 8.0m²
VIN: ACUNT      | FZ-E                                | Space: 8.0m²
VIN: ADHVK      | XR GT TURBO                         | Space: 8.0m²
VIN: OGULU      | VPI-3                               | Space: 8.0m²
VIN: SONUB      | BUMER 7                             | Space: 8.0m²
VIN: ECANA      | GT-V34                              | Space: 8.0m²
VIN: WITEK      | XF COUPE TURBO                      | Space: 8.0m²
VIN: EWUGA      | ROKU HATCH                          | Space: 8.0m²
VIN: RIDES      | MEMOLUTION 7                        | Space: 8.0m²
VIN: TOWED      | VPI-3                               | Space: 8.0m²
VIN: WECAN      | AHMED 4.0RS                         | Space: 8.0m²
VIN: OBABE      | BZ30 ROADSTER SPORT                 | Space: 8.0m²
VIN: OGAYU      | BOLVO 8T 2.0                        | Space: 8.0m²
VIN: ATENA      | ARTON MASTIN 117                    | Space: 8.0m²
VIN: MELON      | SEDAN                               | Space: 8.0m²
VIN: OZUJA      | LAMBARINI                           | Space: 8.0m²
VIN: IGEQI      | PREFECTURE GT                       | Space: 8.0m²
VIN: WACAV      | PREFECTURE-XNS                      | Space: 8.0m²
VIN: MOJUQ      | PORCHETE TIGER GTS                  | Space: 8.0m²
VIN: AVUCI      | BAVARIA N5                          | Space: 8.0m²
VIN: KOYIQ      | BAVARIA 46 WAGON 329D               | Space: 8.0m²
VIN: QUDAC      | BAVARIA N5 BASCO TUNE               | Space: 8.0m²
VIN: OSEBU      | LAMBARNI SJV                        | Space: 8.0m²
VIN: DARIG      | ADDA AR-EIGHT V10                   | Space: 8.0m²
VIN: HINEB      | DADGE VENOM GTS                     | Space: 8.0m²
VIN: NEHEY      | FZ70 4GTS                           | Space: 8.0m²
VIN: SAQAQ      | FZ50 GT                             | Space: 8.0m²
VIN: TIHEK      | ADDA AR-EIGHT V10                   | Space: 8.0m²
VIN: AYAFE      | ALICE 595                           | Space: 8.0m²
VIN: GITAY      | DODGO CHARGOR STR                   | Space: 8.0m²
VIN: EVAZI      | PF FORREAL                          | Space: 8.0m²
VIN: EREGU      | FZ50 TURBO 4                        | Space: 8.0m²
VIN: EPELU      | FZ70 4GTS                           | Space: 8.0m²
VIN: AWUFU      | MEMOLUTION 9 QF-400                 | Space: 8.0m²
VIN: LEVUJ      | LAMOHEHE BALBONI                    | Space: 8.0m²
VIN: GUWOT      | RABUS 650 S63                       | Space: 8.0m²
VIN: AXUNA      | ROKU TROENO COUPE                   | Space: 8.0m²
VIN: GUSAT      | SOON VPI-3                          | Space: 8.0m²
VIN: QIGEN      | ROKU TROENO COUPE                   | Space: 8.0m²
VIN: AHEYA      | DORITO FD7                          | Space: 8.0m²
VIN: NEGER      | 8JFZ SUPERCELESTRAL                 | Space: 8.0m²
VIN: QILUN      | DORITO-FC7 D                        | Space: 8.0m²
VIN: NIVET      | BAVARIA X82 M                       | Space: 8.0m²
VIN: OYOQI      | ADDA S83 1.8T                       | Space: 8.0m²
VIN: FEDIM      | MERSOLES GEL63                      | Space: 8.0m²
VIN: EYENE      | JPN D30                             | Space: 8.0m²
VIN: ACPWK      | ECO XRG                             | Space: 7.0m²
VIN: USATO      | CX WAGON                            | Space: 7.0m²
VIN: GIYOQ      | VSI-V2000                           | Space: 7.0m²
VIN: AACTA      | XF GT DIESEL 1.4                    | Space: 6.0m²
VIN: ADFPI      | XF GT DIESEL 1.4                    | Space: 6.0m²
VIN: ADHNT      | XF GTR                              | Space: 6.0m²
VIN: IKEKI      | LX6                                 | Space: 6.0m²
VIN: FUVOV      | UF DIESEL TRUCK                     | Space: 6.0m²
VIN: QIVUT      | SWIRL SPORT 06                      | Space: 6.0m²
VIN: EGOVA      | FAIK TOPO                           | Space: 6.0m²
VIN: EMABO      | ESPRESSO D                          | Space: 6.0m²
VIN: BATEL      | LOPE ASTA                           | Space: 6.0m²
VIN: IPUSI      | LODAN 1.5                           | Space: 6.0m²
VIN: OHOMO      | BOWLING VR6                         | Space: 6.0m²
VIN: SUZAZ      | DAGAN 1.6                           | Space: 6.0m²
VIN: IYAZA      | LEMON FANTOMAS                      | Space: 6.0m²
VIN: KODID      | ADDA A46 2.5TDI OUTTRO              | Space: 6.0m²
VIN: AMAZU      | FAIK TEMPURA XLS 1.6 EI             | Space: 6.0m²
VIN: ACHBO      | UF GTR                              | Space: 5.0m²
VIN: UPUSI      | UF 1000                             | Space: 5.0m²
VIN: USIBO      | SHARK C                             | Space: 5.0m²
VIN: OZUXU      | UF 1000                             | Space: 5.0m²
VIN: SOGAY      | UF 1000                             | Space: 5.0m²
VIN: IBUMI      | CHORUS ATTENDANZE XT-Z 4R           | Space: 5.0m²
VIN: EHORU      | NESTOR 3                            | Space: 5.0m²
VIN: UHOPE      | UF 1000                             | Space: 5.0m²
VIN: RIGED      | FAIK_499                            | Space: 5.0m²
VIN: LOGAY      | UF 1000                             | Space: 5.0m²
VIN: ERAGO      | LEMON DUCKLING                      | Space: 5.0m²
VIN: TOMUP      | LADRA 1012                          | Space: 5.0m²
VIN: HUKOQ      | GOLF CART 200E                      | Space: 4.0m²
VIN: LEXEV      | THR MB500                           | Space: 4.0m²
VIN: BEGEN      | PEEPEE50                            | Space: 4.0m²
VIN: IKOQI      | MOVVER 3000S                        | Space: 4.0m²
VIN: UGADA      | QUAD 400X                           | Space: 3.0m²
VIN: TIMOY      | MOSQUITO - 150CC                    | Space: 2.0m²
VIN: UYUVE      | HBIKE V2                            | Space: 2.0m²
VIN: ULOMO      | VULCAN 998                          | Space: 2.0m²
VIN: ADUTI      | TI 125 EXECUTIVE                    | Space: 2.0m²
VIN: UTOTU      | POCKET ROCKET                       | Space: 2.0m²
VIN: UDERO      | POCKET ROCKET                       | Space: 2.0m²
VIN: WARAR      | RZT 370                             | Space: 2.0m²
VIN: IHANU      | REAPER X1                           | Space: 2.0m²
VIN: KOTIN      | RZM 250                             | Space: 2.0m²
VIN: ARUNE      | SMISON_B51S                         | Space: 2.0m²
VIN: MEPUM      | XINLIN 150                          | Space: 2.0m²
VIN: EMEXE      | BOX CAR 250                         | Space: 2.0m²
VIN: GASEX      | BOX CAR 250                         | Space: 2.0m²
VIN: IHUGE      | HORDA CFR450                        | Space: 2.0m²
VIN: FAKIT      | PADDLEMOSCO                         | Space: 2.0m²
VIN: IKECA      | YMH125                              | Space: 2.0m²
VIN: AZOGU      | TSX750                              | Space: 2.0m²
VIN: ESEXA      | POCKET XR                           | Space: 2.0m²
VIN: TOFAT      | BOX CAR 250                         | Space: 2.0m²
VIN: EJEBE      | CHIMERA X1                          | Space: 2.0m²
VIN: PINIZ      | SZK 400 CLASSIC                     | Space: 2.0m²
VIN: INEMO      | POCKET UF                           | Space: 2.0m²
VIN: EVURI      | TI 125 EXECUTIVE                    | Space: 2.0m²
VIN: QELUS      | K300X                               | Space: 2.0m²
VIN: WEGUX      | JOKASWAY 250CC                      | Space: 2.0m²
VIN: ATEYE      | IRIDER                              | Space: 1.0m²
VIN: GOBOV      | BEECUCLE                            | Space: 1.0m²
VIN: HUNAC      | BEECUCLE                            | Space: 1.0m²
VIN: UNALO      | BEECUCLE                            | Space: 1.0m²
VIN: QAZAY      | BEECUCLE                            | Space: 1.0m²
VIN: LEDIG      | BEECUCLE                            | Space: 1.0m²
VIN: FEBIF      | BEECUCLE                            | Space: 1.0m²
VIN: ILIQU      | BEECUCLE                            | Space: 1.0m²
VIN: ZIHOM      | BEECUCLE                            | Space: 1.0m²
VIN: VONUK      | BEECUCLE                            | Space: 1.0m²
VIN: TOSUS      | BEECUCLE                            | Space: 1.0m²
VIN: FAMAS      | BEECUCLE                            | Space: 1.0m²
VIN: IMORE      | BEECUCLE                            | Space: 1.0m²
VIN: LADIN      | BEECUCLE                            | Space: 1.0m²
VIN: AGIGA      | BEECUCLE                            | Space: 1.0m²
VIN: IGEYE      | BEECUCLE                            | Space: 1.0m²
VIN: LIGUX      | BEECUCLE                            | Space: 1.0m²
VIN: SEVAK      | BEECUCLE                            | Space: 1.0m²
VIN: KIMAB      | BEECUCLE                            | Space: 1.0m²
VIN: IREGI      | BEECUCLE                            | Space: 1.0m²
VIN: IRAQU      | BEECUCLE                            | Space: 1.0m²
VIN: QIWUM      | BEECUCLE                            | Space: 1.0m²
VIN: OXUFA      | GX-BUGGY                            | Space: 1.0m²
VIN: QOZAG      | BEECUCLE                            | Space: 1.0m²
